,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
56,57,NCT00166621,Early Pharmacotherapy Aimed at Neuroplasticity in Autism : Safety and Efficacy,,Completed,No Results Available,Autism,Drug: Buspirone,"Safety will be measured by obtaining clinical laboratory tests, vital signs and evaluating probably or definitely related adverse events.|Population pharmacokinetics will be conducted to measure plasma concentrations in relation to the drug responses to buspirone.|The primary efficacy outcome will be the overall severity score from the Clinical Global Impressions assessment obtained from two raters, (parent and examiner)|Comparisons of allele, and genotype frequencies between responders and non-responders will be done for each polymorphism using Fisher's exact test to best predict response to buspirone.","Chugani, Diane C.",All,2 Years to 6 Years   (Child),Phase 1|Phase 2,20.0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment,PPRU 10659s,2004-03-01,,2005-08-01,2005-09-14,,2011-07-20,"PET Center/Children's Hospital of Michigan, Detroit, Michigan, United States",,https://ClinicalTrials.gov/show/NCT00166621
67,68,NCT01944046,Study of Oxytocin in Autism to Improve Reciprocal Social Behaviors,SOARS-B,Completed,Has Results,Autism Spectrum Disorders,Drug: Double blind phase Placebo Nasal Spray|Drug: double Blind Oxytocin Nasal Spray|Drug: Open Label intranasal oxytocin,"Change in Aberrant Behavior Checklist-Modified Social Withdrawal Subscale ABC-mSW, a Measure of Social Reciprocity|Change in Sociability Factor (SF)|Change in Social Responsiveness Scale-2 (SRS-2) Social Motivation Subscale Score|Change in Stanford Binet-5th Edition (SB-5) IQ Score",Linmarie Sikich|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Duke University,All,3 Years to 17 Years   (Child),Phase 2,290.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Pro00063950|1U01HD073984|13-0593,2014-08-01,2017-11-30,2017-11-30,2013-09-17,2021-01-05,2021-06-18,"Lurie Center for Autism, Massachusetts General Hospital, Boston, Massachusetts, United States|Mount Sinai School of Medicine, New York, New York, United States|Center for Autism and the Developing Brain, White Plains, New York, United States|Duke Center for Autism and Brain Development, Durham, North Carolina, United States|Duke University , Genetics Center, Durham, North Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|Seattle Children's Hospital Research Institute, Seattle, Washington, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT01944046/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT01944046
75,76,NCT04031755,A Proof-of-Concept Study of Minocycline in Autism,,Completed,No Results Available,Autism Spectrum Disorder|Autism,Drug: Minocycline|Drug: Placebos,Subject weight will be compared pre- and post-treatment in the drug versus placebo conditions|Aberrant Behavior will be evaluated pre- and post-treatment in the drug versus placebo conditions|Incidence of liver toxicity will be evaluated in the pre- and post-treatment setting in the drug versus placebo conditions,"Children's Hospital Medical Center, Cincinnati",All,"12 Years to 22 Years   (Child, Adult)",Phase 1,53.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CIN001 - Minocycline in ASD,2019-04-19,2020-10-30,2020-10-30,2019-07-24,,2020-12-08,"Thompson Center for Autism & Neurodevelopmental Disorders - University of Missouri, Columbia, Missouri, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Center for Autism and Developmental Disorders - University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT04031755
80,81,NCT01780883,Melatonin Dose-effect Relation in Childhood Autism,MELADOSE,Completed,No Results Available,Childhood Autism,Drug: melatonin|Drug: Placebo,Severity of autistic disorder|Severity of autistic impairments|Sleep problems|Excretion of the urinary metabolite of melatonin,"Rennes University Hospital|Centre Hospitalier Guillaume Régnier, RENNES",Male,6 Years to 8 Years   (Child),Phase 2,34.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ANSM A91245-56,2013-02-01,2013-07-01,2013-09-01,2013-01-31,,2013-09-05,"Service de Psychiatrie de l'Enfant et de l'Adolescent - Hôpital de la Pitié-Salpêtrière, Paris, France|Centre Hospitalier Spécialisé Henri Laborit, Poitiers, France|Service de Psychothérapie de l'Enfant et de l'Adolescent - Hôpital Robert Debré, Reims, France|Pôle de Psychiatrie de l'Enfant et de l'Adolescent - Centre Hospitalier Guillaume Régnier, Rennes, France",,https://ClinicalTrials.gov/show/NCT01780883
81,82,NCT02140112,Efficacy and Safety of Trichuris Suis Ova (TSO) as Compared to Placebo in Autism Spectrum Disorder,,Terminated,No Results Available,Autism,Biological: Trichuris suis ova|Other: Placebo,Change from Baseline in Aberrant Behavior Checklist - Irritability (ABC-I) at 16 weeks,"Coronado Biosciences, Inc.",All,5 Years to 17 Years   (Child),Phase 2,23.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CNDO 201-101,2014-05-01,2015-04-01,2015-04-01,2014-05-16,,2015-11-04,"Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Arkansas Children's Hospital Research Institute, Little Rock, Arkansas, United States|Baber Research Group, Naperville, Illinois, United States|Montefiore Medical Center Dept. of Psychiatry, Child Annex, Bronx, New York, United States|Red Oak Psychiatry, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT02140112
82,83,NCT00490802,Intranasal Oxytocin in the Treatment of Autism,,Completed,Has Results,Autism,Drug: Oxytocin|Drug: Placebo,"Clinical Global Impressions Scale - Improvement - Social|Repetitive Behavior Scale - Revised|Diagnostic Analysis of Nonverbal Accuracy, Paralanguage Test|Yale-Brown Obsessive-Compulsive Scale|Social Responsiveness Scale","Evdokia Anagnostou|Icahn School of Medicine at Mount Sinai|Anagnostou, Evdokia, M.D.",All,18 Years to 60 Years   (Adult),Phase 2,19.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",06-0230 0001 02 PS,2006-06-01,2011-09-01,2012-04-01,2007-06-25,2014-11-05,2015-10-23,"Mount Sinai School of Medicine, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00490802
84,85,NCT04623398,Effect of Lithium in Patients With Autism Spectrum Disorder and Phelan-McDermid Syndrome (SHANK3 Haploinsufficiency),Lisphem,Not yet recruiting,No Results Available,Autism Spectrum Disorder,Drug: Lithium Carbonate|Drug: Placebo,Score social responsiveness scale|score of autism diagnosis observation scale|Score of attention deficit hyperactivity disorder|score of child's sleep disorder rating scale|Score of Dunn Sensory Profile|Score of Aberrant Behavior checklist scale|score of global functioning|Score of Vineland Adaptive Behavior Composite|Score of surrounding constraints|score of Columbia Suicide Severity Rating Scale,Assistance Publique - Hôpitaux de Paris,All,"7 Years to 18 Years   (Child, Adult)",Phase 3,22.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P160914,2021-09-01,2023-09-01,2023-09-01,2020-11-10,,2021-09-16,"Hôpital Robert Debré, Paris, France",,https://ClinicalTrials.gov/show/NCT04623398
85,86,NCT01999894,Open-label Study of Safety and Tolerability of Memantine in Children With Autism,,Completed,Has Results,Autism|Pediatric Autism,Drug: Memantine HCl,Number of Patients Who Experienced a Treatment-emergent Adverse Event (TEAE),Forest Laboratories|Merz Pharmaceuticals GmbH,All,"6 Years to 18 Years   (Child, Adult)",Phase 2,102.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MEM-MD-67,2009-11-01,2013-02-01,2013-02-01,2013-12-03,2014-03-18,2014-03-18,"Forest Investigative Site 005, Phoenix, Arizona, United States|Forest Investigative Site 003, Sacramento, California, United States|Forest Investigative Site 021, San Francisco, California, United States|Forest Investigative Site 026, Santa Ana, California, United States|Forest Investigative Site 020, Santa Ana, California, United States|Forest Investigative Site 002, Stanford, California, United States|Forest Investigative Site 024, Jacksonville Beach, Florida, United States|Forest Investigative Site 007, St. Petersburg, Florida, United States|Forest Investigative Site 014, Hoffman Estates, Illinois, United States|Forest Investigative Site 023, Naperville, Illinois, United States|Forest Investigative Site 010, Indianapolis, Indiana, United States|Forest Investigative Site 025, Cambridge, Massachusetts, United States|Forest Investigative Site 011, Toms River, New Jersey, United States|Forest Investigative Site 006, Voorhees, New Jersey, United States|Forest Investigative Site 017, Manhasset, New York, United States|Forest Investigative Site 013, Cleveland, Ohio, United States|Forest Investigative Site 015, Cleveland, Ohio, United States|Forest Investigative Site 001, Columbus, Ohio, United States|Forest Investigative Site 019, Oklahoma, Oklahoma, United States",,https://ClinicalTrials.gov/show/NCT01999894
89,90,NCT00211796,Divalproex Sodium ER in Adult Autism,,Completed,No Results Available,Autism,Drug: Divalproex Sodium ER,the Clinical Global Improvement and Severity scales (CGI-I and CGI-S)|Overt Aggression Scale-Modified (OAS M)|Affective Lability Scale (ALS).|Global Assessment of Functioning Scale (GAF)|Aggression Questionnaire (AQ)|the Hamilton Depression (Ham-D) Scale|Yale Brown Obsessive Compulsion Scale (YBOCS)|Compulsion sub-scale|Aberrant Behavior Checklist (ABC)|Barratt Impulsiveness Scale|Version11 (BIS-11).,Montefiore Medical Center,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 4,10.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GCO#04-1106,2005-04-01,2007-04-01,2007-04-01,2005-09-21,,2018-05-31,"Mount Sinai School of Medicine, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00211796
91,92,NCT00872898,"Study of Pharmacokinetics, Safety, Efficacy, and Tolerability of Memantine in Children With Autism",,Completed,Has Results,Autism,Drug: Memantine - Extended Release (ER)|Drug: Placebo,Extent of Absorption of Memantine (Part One)|Change in Total Raw Score of Social Responsiveness Scale|Core Autism Treatment Scale-Improvement: Total Score|Core Autism Treatment Scale-Improvement: Social Interaction|Core Autism Treatment Scale-Improvement: Communication|Change in Children's Communication Checklist-2 (CCC-2) - Speech Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Syntax Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Semantics Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Coherence Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Initiation Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Scripted Language Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Context Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Nonverbal Communication Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Social Relations Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Interests Subscale,Forest Laboratories|Merz Pharmaceuticals GmbH,All,"6 Years to 18 Years   (Child, Adult)",Phase 2,124.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MEM-MD-57A,2009-04-01,2012-08-01,,2009-03-31,2014-01-14,2014-01-14,"Forest Investigative Site, Phoenix, Arizona, United States|Forest Investigative Site, Sacramento, California, United States|Forest Investigative Site, San Francisco, California, United States|Forest Investigative Site, Santa Ana, California, United States|Forest Investigative Site, Stanford, California, United States|Forest Investigative Site, Jacksonville Beach, Florida, United States|Forest Investigative Site, St Petersburg, Florida, United States|Forest Investigative Site, Hoffman Estates, Illinois, United States|Forest Investigative site, Naperville, Illinois, United States|Forest Investigative Site, Indianapolis, Indiana, United States|Forest Investigative Site, Cambridge, Massachusetts, United States|Forest Investigative Site, Toms River, New Jersey, United States|Forest Investigative Site, Voorhees, New Jersey, United States|Forest Investigative Site, Manhasset, New York, United States|Forest Investigative Site, Cleveland, Ohio, United States|Forest Investigative Site, Columbus, Ohio, United States|Forest Investigative Site, Oklahoma City, Oklahoma, United States",,https://ClinicalTrials.gov/show/NCT00872898
93,94,NCT00873834,Fluoxetine Essay in Children With Autism,FAIR,Withdrawn,No Results Available,Autism,Drug: fluoxetine|Drug: placebo,"Subscores of Autism Diagnostic Interview (ADI-R)at each visit of the protocol (LECOUTER et RUTTER, 1989)|Sides effect scale (FSEC)|Aberrant Behavior Checklist (Aman et al., 1985)|Clinical Global Impressions (CGI) severity and improvement (NIMH.1985)",Assistance Publique - Hôpitaux de Paris,All,5 Years to 12 Years   (Child),Phase 2,0.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",P030901|AOM 98082,2009-09-01,2010-11-01,2011-11-01,2009-04-02,,2012-01-10,,,https://ClinicalTrials.gov/show/NCT00873834
95,96,NCT04517799,Trial of Cannabidiol to Treat Severe Behavior Problems in Children With Autism,,Recruiting,No Results Available,Autism|Autism Spectrum Disorder,Drug: Epidiolex|Drug: placebo oral solution,"Total Score on Repetitive Behavior Scale-Revised (RBS-R)|Total Score on Child Behavior Checklist (CBCL)|Autism Diagnostic Observation Scale- 2 (ADOS-2)|Total Score on Aberrant Behavior Checklist (ABC)|Total Score on Self Harm Inventory|Total Score on Social Responsiveness Scale|Total Score on Peabody Picture Vocabulary test (PPVT-4)|Total Score on Expressive One Word Picture Vocabulary test, Fourth Edition (EOWPVT-4)|Total Score on Children's Sleep Habits Questionnaire (CSHQ)","University of California, San Diego|Wholistic Research and Education Foundation",Male,7 Years to 14 Years   (Child),Phase 2|Phase 3,30.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",181455,2020-06-01,2022-02-28,2022-12-31,2020-08-18,,2021-09-05,"University of California, San Diego, La Jolla, California, United States",,https://ClinicalTrials.gov/show/NCT04517799
