"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
23,"NCT04861740","Autism Access Link for Early Referral and Treatment","Autism ALERT","Recruiting","No Results Available","Autism Spectrum Disorder","Other: Autism ALERT|Other: Screening Intervention","Change in satisfaction with Care Coordination in general and for autism in particular|Change in Parent stress|Change in Parenting stress|Change in Family Empowerment|Change in Family Centered and Coordinated Care|Family Satisfaction with Program|% referred to program who complete an ASD educational evaluation within 6 months|Time from EI/ECSE referral to ASD treatment in EI/ECSE, among children with ASD|Family self-reported ASD knowledge|Change in provider self-efficacy about autism management|Change in provider autism paperwork burden|Time from EI/ECSE referral to evaluation among children with ASD|Age of EI/ECSE educational determination, among children with ASD|% with ASD determination receiving ASD services 6 months after enrollment|monthly service hours among children with ASD 6 months after enrollment|age of ASD medical diagnosis among children on Medicaid|% with ASD medical diagnosis receiving ASD therapy 6 months after enrollment, among children on Medicaid","Oregon Health and Science University|Boston Medical Center|Providence Health & Services","All","12 Months to 54 Months   (Child)","Not Applicable","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","00001","March 18, 2021","May 31, 2022","May 31, 2022","April 27, 2021",,"July 21, 2021","Ohsu Cdrc, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT04861740"
24,"NCT04766177","Role of Bumetanide in Treatment of Autism",,"Recruiting","No Results Available","Autism","Drug: Bumetanide|Drug: Placebo","Number of patients with improved CARS score","Sherief Abd-Elsalam|Tanta University","All","3 Years to 12 Years   (Child)","Phase 3","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","autism","January 1, 2021","December 1, 2030","December 1, 2030","February 23, 2021",,"February 23, 2021","Sherief Abd-Elsalam, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04766177"
25,"NCT04246398","FMT in Children With Autism and Gastrointestinal Symptoms",,"Not yet recruiting","No Results Available","Children With Autism","Other: FMT|Other: FMT - placebo","Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability])|Significant change in GI symptoms [efficiency]|Change in food selection [efficiency]|Improving ASD symptoms [efficiency]|Diversity and variability of the gut microbiome","Assaf Harofeh MC|Assaf-Harofeh Medical Center","All","7 Years to 20 Years   (Child, Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","0052-19-ASF","February 2020","December 2022","December 2022","January 29, 2020",,"February 5, 2020","Assaf-HarofehMC, Zerifin, Israel",,"https://ClinicalTrials.gov/show/NCT04246398"
26,"NCT04199507","Physical Fitness in Autism",,"Completed","No Results Available","Autism","Other: physical fitness assessment","Physical fitness|Posture analysis|Physical activity level|Family Anxiety Level","Hacettepe University","All","7 Years to 17 Years (Child)",,"36","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","GO18/905","December 16, 2019","April 16, 2020","April 16, 2020","December 16, 2019",,"August 11, 2020","Hacettepe University, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT04199507"
27,"NCT02842671","Autism Spectrum Ambassador Program","ASAP","Completed","No Results Available","Autism Spectrum Disorder","Other: Assigned Ambassador","Patient Satisfaction Survey (questionnaire)|Medical Student Satisfaction Survey (questionnaire)|Medical Student Career Interest (questionnaire)|Medical Student Comfort Level (questionnaire)","Milton S. Hershey Medical Center","All","30 Months to 17 Years   (Child)","Not Applicable","23","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","00004103","December 1, 2016","November 25, 2019","November 25, 2019","July 25, 2016",,"June 18, 2021","Penn State Hershey Children's Hospital, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02842671"
28,"NCT04068688","Tailoring Treatment Targets for Early Autism Intervention in Africa",,"Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Early Start Denver Model (ESDM)","Supported joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Coordinated joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Symbol-infused joint engagement measured by the Joint Engagement Rating Inventory (JERI)|Fluency and connectedness measured by the Joint Engagement Rating Inventory (JERI)|Shared routines and rituals measured by the Joint Engagement Rating Inventory (JERI)|Scaffolding measured by the Joint Engagement Rating Inventory (JERI)|Following in on a child's focus measured by the Joint Engagement Rating Inventory (JERI)|Caregiver affect measured by the Joint Engagement Rating Inventory (JERI)|Initiation of joint attention measured by the Early Social Communication Scales (ESCS)|Response to joint attention measured by the Early Social Communication Scales (ESCS)|Language and Communication developmental quotient on the Griffiths Scales of Child Development 3rd Edition (Griffiths-III)|Personal-Social-Emotional developmental quotient on the Griffiths Scales of Child Development 3rd Edition (Griffiths-III)|Socialization subscale standard score on the Vineland Adaptive Behavior Scales - Socialization subscale standard score on the Vineland Adaptive Behavior Scales - 3rd edition (VABS-3)|Communication subscale standard score on the Vineland Adaptive Behavior Scales - 3rd edition (VABS-3)|Affective response measured by the SenseToKnow App|Social referencing measured by the SenseToKnow App|Gaze patterns measured by the SenseToKnow App|Postural sway measured by the SenseToKnow App","Duke University|University of Cape Town","All","18 Months to 72 Months   (Child)","Not Applicable","130","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","Pro00103045","September 1, 2019","July 31, 2021","July 31, 2021","August 28, 2019",,"August 6, 2020","University of Cape Town, Cape Town, West Cape, South Africa",,"https://ClinicalTrials.gov/show/NCT04068688"
29,"NCT04666493","Adapting Anxiety Intervention for Youth With Autism for Rapid Response to COVID-19",,"Recruiting","No Results Available","Autism Spectrum Disorder","Other: Cognitive behavior therapy (CBT), specifically using the Facing Your Fears (FYF) curriculum","Screen for Child Anxiety Related Emotional Disorders (SCARED), Parent version|Screen for Child Anxiety Related Emotional Disorders (SCARED), Child version","Evdokia Anagnostou|Anagnostou, Evdokia, M.D.","All","8 Years to 13 Years   (Child)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0240","December 4, 2020","November 30, 2021","November 30, 2021","December 14, 2020",,"December 14, 2020","Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04666493"
30,"NCT02222662","Parent-delivered Massage for Children With Autism - Ages 6 to 11",,"Completed","No Results Available","Autism","Other: Parent massage tx group|Other: Parent massage wait-list control group","Change in severity of autism|Change in developmental skills","Western Oregon University|HRSA/Maternal and Child Health Bureau","All","6 Years to 11 Years   (Child)","Not Applicable","35","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","R40MC24945(2)","June 2014","February 2016","February 2016","August 21, 2014",,"April 29, 2016","Various locations in Portland, Salem, Albany/Corvallis and Eugene, Portland, Salem, Albany, Corvallis, Eugene, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT02222662"
31,"NCT05031364","CBT for Youth With Autism and Emotional/Behavioral Needs in Community Care Settings","CYAN","Recruiting","No Results Available","Autism","Behavioral: Behavioral Interventions for Anxiety in Children with Autism (BIACA)|Behavioral: Treatment-as-Usual Supplemented by Internet-Based Self-Instruction (MEYA)","Change in Aberrant Behavior Checklist-2 Irritability Subscale (ABC-2)|Change in Pediatric Anxiety Rating Scale (PARS)|Change in Social Responsiveness Scale II (SRS-II)|Consumer Satisfaction Parent Questionnaire","University of California, Los Angeles|Virginia Commonwealth University|United States Naval Medical Center, San Diego|Westside Regional Center","All","6 Years to 14 Years   (Child)","Not Applicable","100","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","AR200108","July 1, 2021","March 1, 2025","June 30, 2025","September 1, 2021",,"September 1, 2021","Westside Regional Center, Culver City, California, United States|Naval Medical Center San Diego, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT05031364"
32,"NCT01343511","Safety and Efficacy of Stem Cell Therapy in Patients With Autism",,"Completed","No Results Available","Autism","Biological: human cord blood mononuclear cells|Biological: human cord blood mononuclear cells and human umbilical cord mesenchymal stem cells","Childhood Autism Rating Scale，CARS|Clinical Global Impression Scale，CGI|Aberrant Behavior Checklist，ABC|Adverse Event and Serious Adverse Event","Shenzhen Beike Bio-Technology Co., Ltd.|Shandong Jiaotong Hospital|Association for the Handicapped Of Jinan","All","3 Years to 12 Years   (Child)","Phase 1|Phase 2","37","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BKCR-AUTISM-1.0(2009)","March 2009","June 2010","May 2011","April 28, 2011",,"October 14, 2011","Shandong Jiaotong Hospital, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT01343511"
33,"NCT02192749","Allogeneic Umbilical Cord Mesenchymal Stem Cell Therapy for Autism",,"Completed","No Results Available","Autism","Biological: Umbilical cord mesenchymal stem cells","Number of participants with adverse events|Number of participants with a change in disability as measured by the Autism Treatment Evaluation Checklist (ATEC)|Number of participants with a change in disability as measured by the Childhood Autism Rating Scale (CARS)|Change from baseline macrophage-derived chemokine (MDC)|Change from baseline thymus and activation-regulated chemokine (TARC)","Translational Biosciences","All","6 Years to 16 Years   (Child)","Phase 1|Phase 2","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TBS-UCMSC-ASD001","July 2014","August 2017","August 2017","July 17, 2014",,"October 13, 2017","Stem Cell Institute, Panama City, Panama",,"https://ClinicalTrials.gov/show/NCT02192749"
34,"NCT04209452","Improving Working Memory of Children With Autism",,"Terminated","No Results Available","Autism","Behavioral: Rehearsal strategy|Behavioral: Reinforcement|Behavioral: Rehearsal strategy and reinforcement","Change in percent recall|Change in percent strategy used.","Arizona State University|Shanghai Xuhui Clover Children Healthy Garden|Jingdezhen Kindkids Autism Rehabilitation and Training Center|Sunshine Special Education Center","All","4 Years to 8 Years   (Child)","Not Applicable","15","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00010960","January 15, 2020","November 10, 2020","November 10, 2020","December 24, 2019",,"November 12, 2020","Jingdezhen Kindkids Autism Rehabilitation and Training Center, Jingdezhen, Jiangxi, China|Sunshine Special Education Center, Taizhou, Zhejiang, China|Shanghai Xuhui Clover Children Healthy Garden, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04209452"
